rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,full_text,clean_text,sentiment,sentiment_confidence,emotion
1.0,Great Product . . . Poor Performance,"Without researching the product I did an impulse buy of the Samsung Gear IconX.  I liked the idea that I could load music and use them while I was fishing.  During their use, the left earbud was on the side facing the sun.  After about a half hour, the earbud started announcing something like ""need to cool down"".  It would repeat it  . . . and repeat it . . . and repeat it until I took the earbuds off and put them back in their case and in my vehicle.  The touch controls are crazy and unpredictable and I am never sure what will happen when I try to do a tap or double tap . . .  I will be attempting to return the earbuds for a refund.",[],B07644ZS1D,B076K6QXF5,AE3VSUJHP2KB42ZW6RYEL2ZL2Z4Q,1541863878425,0,False,"Great Product . . . Poor Performance. Without researching the product I did an impulse buy of the Samsung Gear IconX.  I liked the idea that I could load music and use them while I was fishing.  During their use, the left earbud was on the side facing the sun.  After about a half hour, the earbud started announcing something like ""need to cool down"".  It would repeat it  . . . and repeat it . . . and repeat it until I took the earbuds off and put them back in their case and in my vehicle.  The touch controls are crazy and unpredictable and I am never sure what will happen when I try to do a tap or double tap . . .  I will be attempting to return the earbuds for a refund.",great product poor performance without researching the product i did an impulse buy of the samsung gear iconx i liked the idea that i could load music and use them while i was fishing during their use the left earbud was on the side facing the sun after about a half hour the earbud started announcing something like need to cool down it would repeat it and repeat it and repeat it until i took the earbuds off and put them back in their case and in my vehicle the touch controls are crazy and unpredictable and i am never sure what will happen when i try to do a tap or double tap i will be attempting to return the earbuds for a refund,NEGATIVE,0.42818978428840637,fear
1.0,Exercise mode does not have any WEIGHT TRAINING or STRENGTH TRAINING or CROSSFIT or CIRCUIT TRAINING or ANY SPORTS!!!!,"I had for two years now, and there's too many nonsense in the Gear Fit 2 and Gear 3 watch.... I'm finally getting rid of all my Samsung gears and this is why along with one star... because the exercise mode does not have any WEIGHT TRAINING or STRENGTH TRAINING or CROSSFIT or CIRCUIT TRAINING or ANY SPORTS, or anything a regular person does, everything they have for eexecises doesnt make sense!!!! But the exervises that make sense they have on the phone?! what? Bizarro world!",[],B01FDPVXZC,B01GJ3TPCU,AG5XRWTKLUWKRM3O7POLY7AEEXHA,1497201334324,0,False,"Exercise mode does not have any WEIGHT TRAINING or STRENGTH TRAINING or CROSSFIT or CIRCUIT TRAINING or ANY SPORTS!!!!. I had for two years now, and there's too many nonsense in the Gear Fit 2 and Gear 3 watch.... I'm finally getting rid of all my Samsung gears and this is why along with one star... because the exercise mode does not have any WEIGHT TRAINING or STRENGTH TRAINING or CROSSFIT or CIRCUIT TRAINING or ANY SPORTS, or anything a regular person does, everything they have for eexecises doesnt make sense!!!! But the exervises that make sense they have on the phone?! what? Bizarro world!",exercise mode does not have any weight training or strength training or crossfit or circuit training or any sports i had for two years now and there s too many nonsense in the gear fit and gear watch i m finally getting rid of all my samsung gears and this is why along with one star because the exercise mode does not have any weight training or strength training or crossfit or circuit training or any sports or anything a regular person does everything they have for eexecises doesnt make sense but the exervises that make sense they have on the phone what bizarro world,NEGATIVE,0.8738554120063782,surprise
1.0,Battery life is horrible!!!,"I charged new watch out of the box to 100%. Turned off all connections to make a clean test. Put the watch on the table and did not touch it. In about 23 hours the charge was 20% without actively using the watch at all or turning on the screen. It is absolutely horrible. Dormant watch consumed 80% of power.<br /><br />I am wearing Huawei 6 band for a week  and it is still running on the same charge, it's around 15% now. It has the same sport and health functions like Samsung watch and I paid $40 for it. It is also not cumbersome like Samsung watch.<br /><br />Samsung needs to fix their battery life.  Thinking about return.<br /><br />ECG tracker stopped working. When I try to run it on the watch , it says ""New version is available. Install the update from Galaxy App Store to continue using the app. If I click on the Update button on the watch, I get ""Page not found"" on the phone browser.<br /><br />I've been through several support chats, calls, sms,  they tried to remote to my phone! and still the issue with the watch was not solved. Every support team was trying to send me somewhere else. I spent several hours talking to Samsung support.<br /><br />The issue with this watch is that it is using Samsung's own home brewed half-baked operating system. It is clunky. It is misleading.  If you opened some app like browser on the watch, there is no way to close it. It is running draining power. I was able to resolve the ECG app issue on yhe watch by reinstalling Galaxy Wear app on my phone. It was just a wild  guess. The watch tips and Samsung support troubleshooting was absolutely useless. This watch is a bad news.",[],B096BFW6F2,B0BLD1HN66,AHNOSMQ6G77VJP56MWY37AZT5RNA,1658244534912,5,True,"Battery life is horrible!!!. I charged new watch out of the box to 100%. Turned off all connections to make a clean test. Put the watch on the table and did not touch it. In about 23 hours the charge was 20% without actively using the watch at all or turning on the screen. It is absolutely horrible. Dormant watch consumed 80% of power.<br /><br />I am wearing Huawei 6 band for a week  and it is still running on the same charge, it's around 15% now. It has the same sport and health functions like Samsung watch and I paid $40 for it. It is also not cumbersome like Samsung watch.<br /><br />Samsung needs to fix their battery life.  Thinking about return.<br /><br />ECG tracker stopped working. When I try to run it on the watch , it says ""New version is available. Install the update from Galaxy App Store to continue using the app. If I click on the Update button on the watch, I get ""Page not found"" on the phone browser.<br /><br />I've been through several support chats, calls, sms,  they tried to remote to my phone! and still the issue with the watch was not solved. Every support team was trying to send me somewhere else. I spent several hours talking to Samsung support.<br /><br />The issue with this watch is that it is using Samsung's own home brewed half-baked operating system. It is clunky. It is misleading.  If you opened some app like browser on the watch, there is no way to close it. It is running draining power. I was able to resolve the ECG app issue on yhe watch by reinstalling Galaxy Wear app on my phone. It was just a wild  guess. The watch tips and Samsung support troubleshooting was absolutely useless. This watch is a bad news.",battery life is horrible i charged new watch out of the box to turned off all connections to make a clean test put the watch on the table and did not touch it in about hours the charge was without actively using the watch at all or turning on the screen it is absolutely horrible dormant watch consumed of power i am wearing huawei band for a week and it is still running on the same charge it s around now it has the same sport and health functions like samsung watch and i paid for it it is also not cumbersome like samsung watch samsung needs to fix their battery life thinking about return ecg tracker stopped working when i try to run it on the watch it says new version is available install the update from galaxy app store to continue using the app if i click on the update button on the watch i get page not found on the phone browser i ve been through several support chats calls sms they tried to remote to my phone and still the issue with the watch was not solved every support team was trying to send me somewhere else i spent several hours talking to samsung support the issue with this watch is that it is using samsung s own home brewed half baked operating system it is clunky it is misleading if you opened some app like browser on the watch there is no way to close it it is running draining power i was able to resolve the ecg app issue on yhe watch by reinstalling galaxy wear app on my phone it was just a wild guess the watch tips and samsung support troubleshooting was absolutely useless this watch is a bad news,NEGATIVE,0.7883660197257996,fear
4.0,Very mixed feeling about this gadget,"[[VIDEOID:43080b865b752bd653af5dfe533a6667]] I have very mixed feeling with this smart watch. I have Galaxy Watch 5 and I HAD Apple Watch series 6 previously. Since this was on Vine recommendation list and I just gave it a try. Apps are not stable, problems are here and there but still it's only $30. So I really don't know how to give ratings for this product. So here is what I think.<br /><br />Build Quality & Design:<br />It has old Galaxy watch, round shape body with assumably tempered glass. The body is made with aluminum. They give 2 silicone straps gracefully. (Are you seeing this, Samsung & Apple?) For build quality, it's amazingly good for $30, and even without considering the price, it has pretty good quality.<br /><br />Screen:<br />They say it's IPS HD resolution but well, it's nothing like major smart watches. Dots are quite visible, probably we are all get used to UHD or QHD level of high resolution screen too much. It's not specifically bothering though, but definitely it's nothing like mainstream watches. It doesn't work as smooth as mainstream watches, then again it's $30.<br /><br />Comfortableness:<br />It is pretty comfortable, just like others. I specially like the soft silicone texture of this watch.<br /><br />Apps:<br />So, this is the problem. So practically, even with full permission to most of the apps, something works and something doesn't. This watch has connection app and you can manage all your setting there. With full permission, call works pretty good both for dialing and receiving calls. But even with the accessibility permission for messaging, it doesn't show any incoming message nor I can send any, nor does Whatsapp. I'm not sure I'm setting this right or not, but it's true that it's not so convenient. So if someone succeed, please let me know and I will fix rating. The step tracking is somewhat unstable, so it works on and off. The health monitor works pretty well in INCREDABLY SHORT TIME (BUT shows very different number from Galaxy Watch, lol) but blood pressure measure is somewhat unstable, it fluctuates like crazy. I guess it's immature technology since Galaxy Watch 5 didn't open this function for US market yet. So I won't believe whatever number comes up from this watch.<br /><br />Charger:<br />It comes with one light plastic charger. Again, it's $30.<br /><br />Buy it if you need: budget random smart watch for your kids. I mean, it's ""working"" smart watch for $30.<br />Don't if you need: you need a real smart watch for messaging and health management. It's just not so credible and reliable.<br /><br />Last note: I would give 2 star if it were more than $50.",[],B0BPYVVBDH,B0BSPSMK7D,AGY3OGLPPFXFHMYFZ5MRBCYGJRUQ,1673396252349,2,False,"Very mixed feeling about this gadget. [[VIDEOID:43080b865b752bd653af5dfe533a6667]] I have very mixed feeling with this smart watch. I have Galaxy Watch 5 and I HAD Apple Watch series 6 previously. Since this was on Vine recommendation list and I just gave it a try. Apps are not stable, problems are here and there but still it's only $30. So I really don't know how to give ratings for this product. So here is what I think.<br /><br />Build Quality & Design:<br />It has old Galaxy watch, round shape body with assumably tempered glass. The body is made with aluminum. They give 2 silicone straps gracefully. (Are you seeing this, Samsung & Apple?) For build quality, it's amazingly good for $30, and even without considering the price, it has pretty good quality.<br /><br />Screen:<br />They say it's IPS HD resolution but well, it's nothing like major smart watches. Dots are quite visible, probably we are all get used to UHD or QHD level of high resolution screen too much. It's not specifically bothering though, but definitely it's nothing like mainstream watches. It doesn't work as smooth as mainstream watches, then again it's $30.<br /><br />Comfortableness:<br />It is pretty comfortable, just like others. I specially like the soft silicone texture of this watch.<br /><br />Apps:<br />So, this is the problem. So practically, even with full permission to most of the apps, something works and something doesn't. This watch has connection app and you can manage all your setting there. With full permission, call works pretty good both for dialing and receiving calls. But even with the accessibility permission for messaging, it doesn't show any incoming message nor I can send any, nor does Whatsapp. I'm not sure I'm setting this right or not, but it's true that it's not so convenient. So if someone succeed, please let me know and I will fix rating. The step tracking is somewhat unstable, so it works on and off. The health monitor works pretty well in INCREDABLY SHORT TIME (BUT shows very different number from Galaxy Watch, lol) but blood pressure measure is somewhat unstable, it fluctuates like crazy. I guess it's immature technology since Galaxy Watch 5 didn't open this function for US market yet. So I won't believe whatever number comes up from this watch.<br /><br />Charger:<br />It comes with one light plastic charger. Again, it's $30.<br /><br />Buy it if you need: budget random smart watch for your kids. I mean, it's ""working"" smart watch for $30.<br />Don't if you need: you need a real smart watch for messaging and health management. It's just not so credible and reliable.<br /><br />Last note: I would give 2 star if it were more than $50.",very mixed feeling about this gadget videoid b b bd af dfe a i have very mixed feeling with this smart watch i have galaxy watch and i had apple watch series previously since this was on vine recommendation list and i just gave it a try apps are not stable problems are here and there but still it s only so i really don t know how to give ratings for this product so here is what i think build quality design it has old galaxy watch round shape body with assumably tempered glass the body is made with aluminum they give silicone straps gracefully are you seeing this samsung apple for build quality it s amazingly good for and even without considering the price it has pretty good quality screen they say it s ips hd resolution but well it s nothing like major smart watches dots are quite visible probably we are all get used to uhd or qhd level of high resolution screen too much it s not specifically bothering though but definitely it s nothing like mainstream watches it doesn t work as smooth as mainstream watches then again it s comfortableness it is pretty comfortable just like others i specially like the soft silicone texture of this watch apps so this is the problem so practically even with full permission to most of the apps something works and something doesn t this watch has connection app and you can manage all your setting there with full permission call works pretty good both for dialing and receiving calls but even with the accessibility permission for messaging it doesn t show any incoming message nor i can send any nor does whatsapp i m not sure i m setting this right or not but it s true that it s not so convenient so if someone succeed please let me know and i will fix rating the step tracking is somewhat unstable so it works on and off the health monitor works pretty well in incredably short time but shows very different number from galaxy watch lol but blood pressure measure is somewhat unstable it fluctuates like crazy i guess it s immature technology since galaxy watch didn t open this function for us market yet so i won t believe whatever number comes up from this watch charger it comes with one light plastic charger again it s buy it if you need budget random smart watch for your kids i mean it s working smart watch for don t if you need you need a real smart watch for messaging and health management it s just not so credible and reliable last note i would give star if it were more than,NEGATIVE,0.766074538230896,joy
3.0,Better battery life would be nice.,The battery could be better along with a bit more control for when it monitors spo2 and other things. I got this as a gift for my gf to replace her old Samsung watch with a terrible battery life. I use garmin watchs and I have to say even my Venu got 2-3 days if I had active days. The battery in this lasts between 14-16hrs without tracking activities. My gf often puts it on the charger at night and forgets to put it back on before going to bed,[],B096BK7W5M,B0BLD1HN66,AHJNTGQ6XRTJ3L4XZA5OFFF5MRXQ,1673722384890,1,True,Better battery life would be nice.. The battery could be better along with a bit more control for when it monitors spo2 and other things. I got this as a gift for my gf to replace her old Samsung watch with a terrible battery life. I use garmin watchs and I have to say even my Venu got 2-3 days if I had active days. The battery in this lasts between 14-16hrs without tracking activities. My gf often puts it on the charger at night and forgets to put it back on before going to bed,better battery life would be nice the battery could be better along with a bit more control for when it monitors spo and other things i got this as a gift for my gf to replace her old samsung watch with a terrible battery life i use garmin watchs and i have to say even my venu got days if i had active days the battery in this lasts between hrs without tracking activities my gf often puts it on the charger at night and forgets to put it back on before going to bed,NEGATIVE,0.4227750897407532,sadness
1.0,Save your money. Buy something else!,The reading is ALL the way off. Totally inaccurate. When I first put on the Fitbit it said I burned 1900 calories - mind you I had just put it on. Total waste of money. I will be returning and will buy a Samsung watch instead.,[],B07B4915CX,B07B4915CX,AFO4DYR7JLEOTPXPOGATLEXYXAZQ,1550580834180,0,True,Save your money. Buy something else!. The reading is ALL the way off. Totally inaccurate. When I first put on the Fitbit it said I burned 1900 calories - mind you I had just put it on. Total waste of money. I will be returning and will buy a Samsung watch instead.,save your money buy something else the reading is all the way off totally inaccurate when i first put on the fitbit it said i burned calories mind you i had just put it on total waste of money i will be returning and will buy a samsung watch instead,NEGATIVE,0.8898766040802002,neutral
1.0,Traded it for a Samsung watch wear OS has a long way to go still in 2020,Wear OS still struggling to bring real Google assistant to wear OS watches. Still cannot sent text using the Google assistant in wear OS....what good it the Google assistant if it can't perform a basics feature that Samsung's Bixby performs so we'll?,[],B088KHGVQN,B088KHGVQN,AFXOUPWEYPJDJRWMANPPBIVECPLA,1597500507363,0,True,Traded it for a Samsung watch wear OS has a long way to go still in 2020. Wear OS still struggling to bring real Google assistant to wear OS watches. Still cannot sent text using the Google assistant in wear OS....what good it the Google assistant if it can't perform a basics feature that Samsung's Bixby performs so we'll?,traded it for a samsung watch wear os has a long way to go still in wear os still struggling to bring real google assistant to wear os watches still cannot sent text using the google assistant in wear os what good it the google assistant if it can t perform a basics feature that samsung s bixby performs so we ll,NEGATIVE,0.7323952317237854,sadness
4.0,Can't afford a Samsung get this!,"I ended up gtg this watch last year when my Samsung watch stopped working but instead of replacing I ended up waiting for the new one to come out so needed a watch to get me through the month and this watch did an excellent job!  I loved everything about this watch EXCEPT you can't answer or respond to calls/messages!!! AMAZFIT get it together because I seriously would have kept this watch over my new Samsung watch.  It paired with my Zepp scale which was awesome, kept track of all the things I wanted, BP, HR, Blood Oxygen etc. everything I wanted Except the feature to call.  Bummer had to send back.  If they fix that I will prob ditch my Samsung and return to Amazfit.",[],B08HR8CKXC,B08HR8CKXC,AF5IYW5OU42OS5L5GRO7KI2GZAUA,1647837926114,3,True,"Can't afford a Samsung get this!. I ended up gtg this watch last year when my Samsung watch stopped working but instead of replacing I ended up waiting for the new one to come out so needed a watch to get me through the month and this watch did an excellent job!  I loved everything about this watch EXCEPT you can't answer or respond to calls/messages!!! AMAZFIT get it together because I seriously would have kept this watch over my new Samsung watch.  It paired with my Zepp scale which was awesome, kept track of all the things I wanted, BP, HR, Blood Oxygen etc. everything I wanted Except the feature to call.  Bummer had to send back.  If they fix that I will prob ditch my Samsung and return to Amazfit.",can t afford a samsung get this i ended up gtg this watch last year when my samsung watch stopped working but instead of replacing i ended up waiting for the new one to come out so needed a watch to get me through the month and this watch did an excellent job i loved everything about this watch except you can t answer or respond to calls messages amazfit get it together because i seriously would have kept this watch over my new samsung watch it paired with my zepp scale which was awesome kept track of all the things i wanted bp hr blood oxygen etc everything i wanted except the feature to call bummer had to send back if they fix that i will prob ditch my samsung and return to amazfit,NEGATIVE,0.390667587518692,surprise
4.0,Renewed Galaxy Smartwatch,"Refurbished Aspect of this Review:<br />This isn't my first time ordering a refurbished product from Amazon. I expected the watch to come with the original packaging, unsealed and possibly missing some components inside like inserts and whatnot... Everytime I've ordered Renewed it came in the original packaging... I could get over not having the box fine, (unless I was giving it as a gift.) but what really disappointed me was it didn't include the manual.<br /><br />It's also important to note that you cannot find the manual in PDF on the Samsung website. They have the manuals for all their other watches, but not this one for some reason. So just keep that in mind.<br />I still don't know the full functionality of this watch and getting to know it has been a bit frustrating without instructions. You can find review YouTube videos that have some instructions, but you will not be shown everything...<br /><br />With that out the way, the watch itself is in pristine condition. No scratches or anything. You wouldn't be able to tell it's used. The charger itself did have some wear. The lettering on the back of it is rubbed off in the middle. Not a big deal.<br /><br />Functionality and Quality Part of this Review:<br />You know, I bought a cheap end smart watch before getting this one. I didn't get the cheapest one. It was midrange in pricing... I really thought paying so much for a brand name watch is a ripoff before I purchased one. They must work the same when they have similar specs right? NO.<br />The knockoff watch gave me bizarre heart rate readings. Said I took steps in my sleep, and don't even get me started on the sleep monitor. Be asleep for thirty minutes, wide awake for ten, straight to REM sleep after that for two minutes... It's a joke. The only positive thing I could say about the knockoff is it had 50% better battery life. But again, it was so useless that I wish it would run out of battery.<br /><br />The body readings on this Galaxy watch are SO accurate that it's a little creepy. Plus it has features that the others don't... Like stress level! Bruh.<br />This was well worth the money I am very happy with how accurate it is!<br /><br />One thing that surprises me, and is a bit disappointing is you cannot use the watch to answer calls when you are strictly using Bluetooth and wifi. You need to use a cell service which means you need to pay your mobile carrier more monthly to use the calling feature. With the knockoff you can just use Bluetooth. It sets your watch like a speaker or headphones so you can answer the call...<br />Same for texting. When I get a text it notifies me but to answer it I have to use my phone.<br />When someone calls me my watch doesn't ring or tell me that someone is calling. I only get a notification when I miss the call.<br /><br />It's possible I am just doing something wrong as I don't have the manual... But just some stuff I wanted to share that I would've found helpful!","[{'small_image_url': 'https://m.media-amazon.com/images/I/51PXU8pCKBL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/51PXU8pCKBL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/51PXU8pCKBL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B09F5KF2VT,B09CTFNH54,AHKLYD5GR4BP4K65HR6EGXRNP47A,1658387429109,45,True,"Renewed Galaxy Smartwatch. Refurbished Aspect of this Review:<br />This isn't my first time ordering a refurbished product from Amazon. I expected the watch to come with the original packaging, unsealed and possibly missing some components inside like inserts and whatnot... Everytime I've ordered Renewed it came in the original packaging... I could get over not having the box fine, (unless I was giving it as a gift.) but what really disappointed me was it didn't include the manual.<br /><br />It's also important to note that you cannot find the manual in PDF on the Samsung website. They have the manuals for all their other watches, but not this one for some reason. So just keep that in mind.<br />I still don't know the full functionality of this watch and getting to know it has been a bit frustrating without instructions. You can find review YouTube videos that have some instructions, but you will not be shown everything...<br /><br />With that out the way, the watch itself is in pristine condition. No scratches or anything. You wouldn't be able to tell it's used. The charger itself did have some wear. The lettering on the back of it is rubbed off in the middle. Not a big deal.<br /><br />Functionality and Quality Part of this Review:<br />You know, I bought a cheap end smart watch before getting this one. I didn't get the cheapest one. It was midrange in pricing... I really thought paying so much for a brand name watch is a ripoff before I purchased one. They must work the same when they have similar specs right? NO.<br />The knockoff watch gave me bizarre heart rate readings. Said I took steps in my sleep, and don't even get me started on the sleep monitor. Be asleep for thirty minutes, wide awake for ten, straight to REM sleep after that for two minutes... It's a joke. The only positive thing I could say about the knockoff is it had 50% better battery life. But again, it was so useless that I wish it would run out of battery.<br /><br />The body readings on this Galaxy watch are SO accurate that it's a little creepy. Plus it has features that the others don't... Like stress level! Bruh.<br />This was well worth the money I am very happy with how accurate it is!<br /><br />One thing that surprises me, and is a bit disappointing is you cannot use the watch to answer calls when you are strictly using Bluetooth and wifi. You need to use a cell service which means you need to pay your mobile carrier more monthly to use the calling feature. With the knockoff you can just use Bluetooth. It sets your watch like a speaker or headphones so you can answer the call...<br />Same for texting. When I get a text it notifies me but to answer it I have to use my phone.<br />When someone calls me my watch doesn't ring or tell me that someone is calling. I only get a notification when I miss the call.<br /><br />It's possible I am just doing something wrong as I don't have the manual... But just some stuff I wanted to share that I would've found helpful!",renewed galaxy smartwatch refurbished aspect of this review this isn t my first time ordering a refurbished product from amazon i expected the watch to come with the original packaging unsealed and possibly missing some components inside like inserts and whatnot everytime i ve ordered renewed it came in the original packaging i could get over not having the box fine unless i was giving it as a gift but what really disappointed me was it didn t include the manual it s also important to note that you cannot find the manual in pdf on the samsung website they have the manuals for all their other watches but not this one for some reason so just keep that in mind i still don t know the full functionality of this watch and getting to know it has been a bit frustrating without instructions you can find review youtube videos that have some instructions but you will not be shown everything with that out the way the watch itself is in pristine condition no scratches or anything you wouldn t be able to tell it s used the charger itself did have some wear the lettering on the back of it is rubbed off in the middle not a big deal functionality and quality part of this review you know i bought a cheap end smart watch before getting this one i didn t get the cheapest one it was midrange in pricing i really thought paying so much for a brand name watch is a ripoff before i purchased one they must work the same when they have similar specs right no the knockoff watch gave me bizarre heart rate readings said i took steps in my sleep and don t even get me started on the sleep monitor be asleep for thirty minutes wide awake for ten straight to rem sleep after that for two minutes it s a joke the only positive thing i could say about the knockoff is it had better battery life but again it was so useless that i wish it would run out of battery the body readings on this galaxy watch are so accurate that it s a little creepy plus it has features that the others don t like stress level bruh this was well worth the money i am very happy with how accurate it is one thing that surprises me and is a bit disappointing is you cannot use the watch to answer calls when you are strictly using bluetooth and wifi you need to use a cell service which means you need to pay your mobile carrier more monthly to use the calling feature with the knockoff you can just use bluetooth it sets your watch like a speaker or headphones so you can answer the call same for texting when i get a text it notifies me but to answer it i have to use my phone when someone calls me my watch doesn t ring or tell me that someone is calling i only get a notification when i miss the call it s possible i am just doing something wrong as i don t have the manual but just some stuff i wanted to share that i would ve found helpful,NEGATIVE,0.4837856590747833,sadness
1.0,These Suck!,"I used them for one day and the right bud just stopped working completely.  I could not find a way to re-pair it.  There are NO INSTRUCTIONS that work to re-pair one or both of the buds.  I went to the App Store to check on the app to see if I could find a way to get the right to re-pair and got an error message that the Samsung Buds Controller is not compatible on my phone.  When I click to install it on my Samsung watch, it sits in “installing soon” mode.<br /><br />As far as battery life - long lasting battery is a joke.  The battery MAYBE lasts 4 hours max.  I use my phone for work for at least 8 hours a day.<br /><br />Don’t waste your money - you’ll end up sending them back too!","[{'small_image_url': 'https://m.media-amazon.com/images/I/51Q7tTGV-0L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/51Q7tTGV-0L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/51Q7tTGV-0L._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B08J3Y4W5J,B0BTCLFDHM,AHUSXEXBFY6J3PXRSXUXW2ON7V2A,1659924126583,0,True,"These Suck!. I used them for one day and the right bud just stopped working completely.  I could not find a way to re-pair it.  There are NO INSTRUCTIONS that work to re-pair one or both of the buds.  I went to the App Store to check on the app to see if I could find a way to get the right to re-pair and got an error message that the Samsung Buds Controller is not compatible on my phone.  When I click to install it on my Samsung watch, it sits in “installing soon” mode.<br /><br />As far as battery life - long lasting battery is a joke.  The battery MAYBE lasts 4 hours max.  I use my phone for work for at least 8 hours a day.<br /><br />Don’t waste your money - you’ll end up sending them back too!",these suck i used them for one day and the right bud just stopped working completely i could not find a way to re pair it there are no instructions that work to re pair one or both of the buds i went to the app store to check on the app to see if i could find a way to get the right to re pair and got an error message that the samsung buds controller is not compatible on my phone when i click to install it on my samsung watch it sits in installing soon mode as far as battery life long lasting battery is a joke the battery maybe lasts hours max i use my phone for work for at least hours a day don t waste your money you ll end up sending them back too,NEGATIVE,0.8982351422309875,sadness
